,PNW_final_cc,SE_final_cc,INW_final_cc,NE_final_cc,SE_hardwood_final_cc,NE_hardwood_final_cc
0,0.508515682360544,0.5323207626077677,0.5189944593496463,0.5042437293380756,0.4795524738253145,0.483633796053358
1,0.5053807916175977,0.5349831451316827,0.5012335043042241,0.5186087959943071,0.4905280917254753,0.48234346195645345
2,0.5055799061516278,0.5301647006305223,0.5010587816086772,0.5282807246888184,0.49629869752480704,0.4901434793256851
3,0.5073946871806236,0.531845535734063,0.5015356531849562,0.5268248384392795,0.4917687695448435,0.4808037526848629
4,0.5050784621621239,0.5312578936371379,0.5227011405029872,0.5095395082002501,0.4990566471704073,0.4951018142729733
5,0.5096011287277541,0.5296812544328325,0.5160209312127996,0.5359729673391271,0.48580533664316966,0.47950484430325535
6,0.5071939240797468,0.5296758466794944,0.5097164973334926,0.5234326687956936,0.49567432091380664,0.4884231073194886
7,0.5031443432059497,0.533528542975755,0.498948746935883,0.5061160889032099,0.4962396395871517,0.4856227450121204
8,0.5046565378058901,0.532494807642301,0.5005130705407429,0.5009530648624276,0.4870199252555929,0.48716672429719815
9,0.5051361791478257,0.5354344901567024,0.5211549800156591,0.5305956834492206,0.4808448088429965,0.48226687821458036
10,0.5080795419961954,0.5343225229087951,0.51282944385363,0.520054374890951,0.49527916331987715,0.49760503147896007
11,0.5083306717856702,0.5295746255677701,0.5080709566577561,0.5159589392792894,0.49918954201711985,0.48933594485160303
12,0.5067105069904754,0.532670749585271,0.510737499649875,0.4971186034602295,0.48674812549955676,0.4944760203539971
13,0.5100944584930485,0.5329188768538,0.5023519900335359,0.5176416242111778,0.4883489669276668,0.4929094398711876
14,0.5082377213608572,0.5314034323269764,0.517195838783378,0.5003023551258169,0.48438332431783426,0.4826166607835416
15,0.5083116750308803,0.5325024783954703,0.5194624579149475,0.498669357987339,0.4865850635305127,0.4942767058947889
16,0.5029405557793588,0.5342496756243645,0.5268957834122681,0.5158111019980867,0.4879313697920599,0.4880973636618851
17,0.5051626190725093,0.5335889801157752,0.5156031336389549,0.5172073265641159,0.49494078090162863,0.49046322577844914
18,0.5031211809195597,0.5316151960875682,0.5095662745682629,0.5145054907766506,0.4990381566823782,0.495337548012838
19,0.5035068367382477,0.5316511282028765,0.5271393861745548,0.5107363118987914,0.49034940523249626,0.4957009333321305
20,0.508845898864984,0.5311531899265345,0.5238280046286139,0.5220279771743486,0.48750537824626644,0.48306418695840836
21,0.5080726814725585,0.5300329138716752,0.528227386256726,0.5148970271778371,0.48130341638243695,0.4814422737580037
22,0.5041025295478487,0.5334736358873038,0.49657215805815796,0.5029271080970951,0.49785679190697996,0.483703797248815
23,0.5071073970470018,0.5316439339660486,0.5155497326737245,0.5214914426726328,0.4934005630887143,0.4966171987982486
24,0.5050168150279886,0.5315171643632274,0.5188541169485839,0.5117625118856248,0.4947129036711493,0.4906796798179981
25,0.5021866778534132,0.5305371147592159,0.5242848524308966,0.5070303788251989,0.48074050920274164,0.49766277804363146
26,0.5030281773015373,0.5341726413963892,0.5108960044009213,0.5064776658663436,0.4794161679594426,0.4901928582504261
27,0.5096493278464838,0.5354074817272916,0.5037172221768221,0.5008179338239155,0.4904699495048898,0.49176286046183226
28,0.509925061807774,0.5332004731392608,0.5054386268138615,0.5279106711114212,0.4990354400997529,0.4966549739739571
29,0.5016189963751796,0.5342297485376509,0.5060139327112431,0.5046809536751566,0.4802783675157043,0.49688555140946467
30,0.5097151325151549,0.5330853602281407,0.5261464890559056,0.5200205401459543,0.48720708900491977,0.4980232194252138
31,0.5050816211588915,0.5326211574795963,0.5090775147260291,0.5006257116547884,0.49557735285414267,0.49163248157495837
